141.0,137.0,0
145.0,162.0,0
132.0,189.0,0
98.0,198.0,0
64.0,210.0,0
37.0,237.0,0
36.0,272.0,0
45.0,303.0,0
72.0,324.0,0
104.0,330.0,0
136.0,326.0,0
169.0,311.0,0
192.0,286.0,0
202.0,249.0,0
202.0,218.0,0
201.0,192.0,0
202.0,167.0,3
203.0,131.0,0
209.0,103.0,0
217.0,78.0,0
240.0,57.0,0
262.0,44.0,2
301.0,28.0,0
328.0,32.0,0
369.0,37.0,0
394.0,44.0,0
416.0,70.0,0
435.0,92.0,0
437.0,124.0,3
436.0,157.0,0
372.0,191.0,0
339.0,187.0,0
306.0,186.0,0
274.0,201.0,2
254.0,225.0,0
248.0,254.0,0
256.0,286.0,0
272.0,309.0,0
305.0,324.0,0
337.0,329.0,0
369.0,324.0,0
